item_id,group,standards,item_information,tablet_student_materials_prompt,prompt,tablet_writing_scoring_instructions,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
E11LA1H09,11,E11LA1,"M -  Here are three words. (Point to each.) Healways ____ and swallows his food slowly. (Point to sentence.) What word should go in the blank: chews, chewing, or chewed?","Here are three words. [highlight answer choices] He always ____ and swallows his food slowly. What word should go in the blank: chews, chewing, or chewed?",He always ____ and swallows his food slowly. What word should go in the blank?,NA,chews,chewing,chewed,a,No Changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G11_E11LA1H09_intro.mp3,ELA_G11_E11LA1H09_stem.mp3,ELA_G11_E11LA1H09_a.mp3,ELA_G11_E11LA1H09_b.mp3,ELA_G11_E11LA1H09_c.mp3,NA,FT,OI,OI,NA,NA,2.02,2.02,2.02
E11LA1H10,11,E11LA1,"H -  Here are three words. (Point to each.) Bingo and Snooky are my two poodle puppies. (Point to sentence.) What word should go in the blank: been, are, or is?","Here are three words. [highlight answer choices] Bingo and Snooky ____ my two poodle puppies. What word should go in the blank: been, are, or is?",Bingo and Snooky ____ my two poodle puppies. What word should go in the blank?,NA,been,are,is,b,No Changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G11_E11LA1H10_intro.mp3,ELA_G11_E11LA1H10_stem.mp3,ELA_G11_E11LA1H10_a.mp3,ELA_G11_E11LA1H10_b.mp3,ELA_G11_E11LA1H10_c.mp3,FT,OI,OI,OI,NA,1.35,1.35,1.35,1.35
E11LA1H11,11,E11LA1,"H -  Here are three words. (Point to each.) Suzy showed me her new computer and printer. (Point to sentence.) What word should go in the blank: she, our, or her?",NA,Suzy showed me ____ new computer and printer. What word should go in the blank?,NA,she,our,her,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.39,NA,NA,NA
E11LA1H12,11,E11LA1,"H -  Here are three words. (Point to each.) We all threw pebbles in the flowing river. (Point to sentence.) What word should go in the blank: pebbles, pebble, or pebbly?","Here are three words. [highlight answer choices] We all threw pebbles in the flowing river. What word should go in the blank: pebbles, pebble, or pebbly?",We all threw ____ in the flowing river. What word should go in the blank?,NA,pebbles,pebble,pebbly,a,No Changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G11_E11LA1H12_intro.mp3,ELA_G11_E11LA1H12_stem.mp3,ELA_G11_E11LA1H12_a.mp3,ELA_G11_E11LA1H12_b.mp3,ELA_G11_E11LA1H12_c.mp3,NA,NA,FT,OI,NA,NA,NA,1.22,1.22
E11LA1L01,11,E11LA1,L - Here are three pictures with words. (Point to each.) She held the apple. (Point to sentence.) Which word is held?,NA,She ____  the apple. Which word is held?,NA,cut,held,ate,b,Do not use item.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E11LA1L02,11,E11LA1,L - Here are three pictures with words. (Point to each.) He reached for the pencil. (Point to sentence.) Which word is reached?,NA,He _____ for the pencil. Which word is reached?,NA,looking,writing,reached,c,No Changes.,B,Boy_Pencil1.ai,Boy_Writing1.ai,Boy_Pencil2.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
E11LA1L03,11,E11LA1,L - Here are three pictures with words. (Point to each.) They win their prize. (Point to sentence.) Which word is their?,NA,They win ____ prize. Which word is their?,NA,their,her,a,a,No Changes.,NA,Girls_Trophy.ai,Girl_Smiling2.ai,Trophy.ai,People/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E11LA1L04,11,E11LA1,L - Here are three pictures with words. (Point to each.) The plant grows tall. (Point to sentence.) Which word is grows?,NA,The plant ____ tall. Which word is grows?,NA,tall,grows,apple,b,Changed the third answer choice to apple.,NA,Building.ai,House_Plant3.ai,Apple1.ai,Plants_Outdoors/Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.9,NA,NA,NA
E11LA1M05,11,E11LA1,"M -  Here are three words. (Point to each.) Yesterday I bought snacks at the store. (Point to sentence.) What word should go in the blank: buying, buyed, or bought?",NA,Yesterday I ____snacks at the store. What word should go in the blank?,NA,buying,buyed,bought,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,OI,NA,NA,1.12,1.12,1.12,NA
E11LA1M06,11,E11LA1,"M -  Here are three words. (Point to each.) Mike likes many different kinds of music. (Point to sentence.) What word should go in the blank: likes, like, or liking?",NA,Mike ____ many different kinds of music. What word should go in the blank?,NA,likes,like,liking,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
