item_id,group,standards,item_information,tablet_student_materials_prompt,prompt,tablet_writing_scoring_instructions,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
E04RI4L03,4,E04RI4,"L - Here are three pictures with words. (Point to each.) What do we do in a chair: stand, lay, or sit?",NA,What do we do in a chair?,NA,stand,lay,sit,c,Do not use item. Needs to change.,NA,Boy14.ai,Boy_Sleeping2.ai,Girl_Sitting1.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E04LA1H09,4,E04LA1,"H - Here are three words. (Point to each.) Mi uses a hammer to fix the fence. (Point to sentence.) What word should go in the blank: blanket, hammer, or broom?",NA,"Mi uses a ____ to fix the fence. 
[prgrph] What word should go in the blank?",NA,blanket,hammer,broom,b,No changes to item. Names from other cultures are used to create a more diversivied test.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.531784224,NA,NA,NA
E04LA1H10,4,E04LA1,"H - Here are three words. (Point to each.) Jeff skates down the hill to the bush. (Point to sentence.) What word should go in the blank: changes, swims, or skates?","Here are three words. [highlight answer choices] Jeff skates down the hill to the bush. [highlight sentence] What word should go in the blank: changes, swims, or skates?",Jeff ____ down the hill to the bush. [prgrph] What word should go in the blank?,NA,changes,swims,skates,c,No changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G4_E04LA1H10_intro.mp3,ELA_G4_E04LA1H10_stem.mp3,ELA_G4_E04LA1H10_a.mp3,ELA_G4_E04LA1H10_b.mp3,ELA_G4_E04LA1H10_c.mp3,FT,OI,OI,OI,NA,1.023384224,1.02,1.02,1.02
E04LA1L01,4,E04LA1,L - Here are three pictures with words. (Point to each.) The bird sings a pretty song. (Point to sentence.) Which word is bird?,NA,The ____ sings a pretty song. [prgrph] Which word is bird?,NA,radio,cat,bird,c,No changes.,NA,Radio1.ai,Cat1.ai,Bird3.ai,Household Objects/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.772815776,NA,NA,NA
E04LA1M06,4,E04LA1,"M - Here are three words. (Point to each.) Tam likes to read his book aloud. (Point to sentence.) What word should go in the blank: toss, read, or show?",NA,Tam likes to ____ his book aloud. [prgrph] What word should go in the blank?,NA,toss,read,show,b,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,0.774184224,0.77,NA,NA
E04LA1M08,4,E04LA1,"M - Here are three words. (Point to each.) The car drove fast down the street. (Point to sentence.) What word should go in the blank: fast, slow, or gray?",NA,The car drove ____down the street. [prgrph] What word should go in the blank?,NA,fast,slow,gray,a,"No changes to item. 2 of 3 reviewers rated the item as a 2 with ""yes"" to accessiblility and bias.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.406884224,NA,NA,NA
E04LA2H11,4,E04LA2d,H - Here are three spellings of the word corn. (Point to each.) Which word is corn?,NA,Which word is spelled correctly?,NA,corn,cron,norc,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E04LA2L01,4,E04LA2d,L - Here are three pictures with words. (Point to each.) Which word is me?,NA,NA,NA,us,me,man,b,No changes.,NA,Man_Woman.ai,Boy4.ai,Man4.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.797315776,NA,NA,NA
E04LA2M05,4,E04LA2d,M - Here are three spellings of the word bat. (Point to each.) Which word is bat? (Do not read answer choices.),NA,Which word is spelled correctly?,NA,bat,tab,atb,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.839915776,NA,NA,NA
E04LA3H09,4,E04LA3a,H - Here are three words. (Point to each.) The sun is hot in the summer. It helps plants to grow. Which word is summer?,NA,The sun is hot in the ______.,NA,summer,somer,smuer,a,No changes to item. Can't have the second sentence because it contains the word to identify.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.610384224,NA,NA,NA
