item_id,group,standards,item_information,tablet_student_materials_prompt,prompt,tablet_writing_scoring_instructions,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
E03LA4L03,3,E03LA4,"L - Here are three pictures with words. (Point to each.) The mountain was very big. What is another word for big: ball, small, or large?",NA,"The mountain was very big. 
What is another word for big?",NA,ball,small,large,c,Don't use this item.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E03LA4LSAMPLE,3,E03LA4,"L -  Here are three answer choices. (Point to each.) The word one was written. What does the word one mean: 3, 2, or 1?",NA,"The word one was written. 
What does the word one mean?",NA,3,2,1,c,Don't use this item.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E03LA1H09,3,E03LA1,"H - Here are three words. (Point to each.) The apple was round, red, and juicy to eat. (Point to sentence.) What word should go in the blank: apple, orange, or pear?",NA,"The ____ was round, red, and juicy to eat.  [prgrph] What word should go in the blank?",NA,apple,orange,pear,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.500376089,NA,NA,NA
E03LA1H12,3,E03LA1,"H - Here are three words. (Point to each.) They walked all together to the store. (Point to sentence.) What word should go in the blank: They, Her, or It?","Here are three words. [highlight answer choices] They walked all together to the store. [highlight sentence] What word should go in the blank: They, Her, or It?",____ walked all together to the store. [prgrph] What word should go in the blank?,NA,They,Her,It,a,No Changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G3_E03LA1H12_intro.mp3,ELA_G3_E03LA1H12_stem.mp3,ELA_G3_E03LA1H12_a.mp3,ELA_G3_E03LA1H12_b.mp3,ELA_G3_E03LA1H12_c.mp3,FT,NA,NA,OI,NA,1.069076089,NA,NA,1.2007
E03LA1L01,3,E03LA1,L - Here are three pictures with words. (Point to each.) Juice was in the cup. (Point to sentence.) Which word is cup?,NA,Juice was in the cup. [prgrph] Which word is cup?,NA,glass,cup,bottle,b,No Changes.,NA,Water4.ai,Cup1.ai,Bottle2.ai,Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.012976089,NA,NA,NA
E03LA1M06,3,E03LA1,"M- Here are three words. (Point to each.) She likes to wear green socks.  (Point to sentence.) What word should go in the blank: She, He, or It?",NA,____ likes to wear green socks. [prgrph] What word should go in the blank?,NA,She,He,It,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.079523911,NA,NA,NA
E03LA1MSAMPLE,3,E03LA1,"M -  Here are three words. (Point to each.) I went to pet the ____. (Point to sentence.) What word should go in the blank: dog, can, or bit?",NA,I went to pet the ____. [prgrph] What word should go in the blank?,NA,dog,can,bit,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E03LA2H09,3,E03LA2a,"H - Here are three words. (Point to each.) I He went to the park with sarah. Which word should have a capital letter: went, park, or Sarah?",NA,He went to the park with sarah.                                    [prgrph] Which word should have a capital letter?,NA,went,park,sarah,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E03LA2H12,3,E03LA2g,H - Here are three words. (Point to each.) Which word is pet?,NA,NA,NA,pin,pet,bus,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.084023911,NA,NA,NA
E03LA2L02,3,E03LA2g,L - Here are three letters. (Point to each.) Which letter is u?,NA,NA,NA,i,o,u,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.950723911,NA,NA,NA
E03LA2LSAMPLE,3,E03LA2g,L - Here are three letters. (Point to each.) Which letter is a? (Do not read answer choices.),NA,NA,NA,a,b,c,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.655223911,NA,NA,NA
E03LA2M06,3,E03LA2g,M - Here are three words. (Point to each.) Which word is up? (Do not read answer choices.),NA,NA,NA,do,up,it,b,changed at to it in distractors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.702723911,NA,NA,NA
E03LA3H12,3,E03LA3,H - Here are three words. (Point to each.) Which word is water? (Do not read answer choices.),NA,NA,NA,water,way,color,a,changed lesson to water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.690823911,NA,NA,NA
E03LA3M06,3,E03LA3,M - Here are three words. (Point to each.) Which word is fork? (Do not read answer choices.),Here are three words. [highlight answer choices] Which word is fork? [no audio for answer choices],NA,NA,forr,kirf,fork,c,changed middle distractor to less like fork,NA,NA,NA,NA,NA,NA,word only,word only,word only,ELA_G3_E03LA3M06_intro.mp3,ELA_G3_E03LA3M06_stem.mp3,NA,NA,NA,FT,OI,OI,OI,NA,0.967976089,0.99,0.99,0.99
