item_id,group,standards,item_information,tablet_student_materials_prompt,prompt,tablet_writing_scoring_instructions,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
E07LA1H09,7,E07LA1,"H - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?",NA,A) The weather is too hot. [prgrph] B) The weather are too hot. [prgrph] C) The weather too hot.,NA,A,B,C,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1H10,7,E07LA1,"H - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?",NA,A) Yesterday she now the answer. [prgrph] B) Yesterday she knew the answer. [prgrph] C) Yesterday she knowed the answer.,NA,A,B,C,b,Formatted answers so that they are vertically aligned.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1H11,7,E07LA1,"H - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?",NA,A) His mom went him. [prgrph] B) His mom call the him. [prgrph] C) His mom called him.,NA,A,B,C,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.872679145950375,NA,NA,NA
E07LA1H12,7,E07LA1,"H - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?",NA,A) Raquel said she was tired. [prgrph] B) Raquel say she was tired. [prgrph] C) Raquel saying she tired.,NA,A,B,C,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1L01,7,E07LA1,"L - Here are three pictures. (Point to each.) Choose the picture that shows ""Gina drinks tea this morning."": A, B, or C?",NA,"Choose the picture that shows ""Gina drinks tea this morning.""",NA,A,B,C,c,Adjusted the line thickness and size of answer choice C.,NA,Girl_Writing1.ai,Girl_Eating.ai,Girl_Drinking_Tea.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1L02,7,E07LA1,"L - Here are three pictures. (Point to each.) Choose the picture that shows ""I stand by the dog."": A, B, or C?","Here are three pictures. [highlight answer choices] Choose the picture that shows ""I stand by the dog."": A, B, or C?","Choose the picture that shows ""I stand by the dog.""",NA,A,B,C,a,"Changed wording from ""play with"" to ""stand by.""",NA,Boy_Dog3.ai,Boy_Cat.ai,Boy_Bird.ai,People,prompt (SM),graphic + word,graphic + word,graphic + word,ELA_G7_E07LA1L02_intro.mp3,ELA_G7_E07LA1L02_stem.mp3,ELA_G7_E07LA1L02_a.mp3,ELA_G7_E07LA1L02_b.mp3,ELA_G7_E07LA1L02_c.mp3,FT,OI,OI,OI,NA,-0.893220854049625,-0.88,-0.88,-0.88
E07LA1L03,7,E07LA1,"L - Here are three pictures. (Point to each.) Choose the picture that shows ""I saw a star."": A, B, or C?",NA,"Choose the picture that shows ""I saw a star.""",NA,A,B,C,b,No Changes.,NA,Sun1.ai,Star1.ai,Moon1.ai,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1L04,7,E07LA1,"L - Here are three pictures. (Point to each.) Choose the picture that shows ""Ona runs home."": A, B, or C?",NA,"Choose the picture that shows ""Ona runs home.""",NA,A,B,C,c,No Changes.,NA,Girl_Smiling2.ai,House1.ai,Girl_Running_Home.ai,People/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1M05,7,E07LA1,"M - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?","Here are three sentences. [highlight sentences] Which sentence is correct: A, B, or C?",A) Pedro work. [prgrph] B) Pedro worked hard. [prgrph] C) Pedro hard work.,NA,A,B,C,b,No Changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G7_E07LA1M05_intro.mp3,ELA_G7_E07LA1M05_stem.mp3,ELA_G7_E07LA1M05_a.mp3,ELA_G7_E07LA1M05_b.mp3,ELA_G7_E07LA1M05_c.mp3,FT,OI,OI,OI,NA,2.20817914595037,2.22,2.22,2.22
E07LA1M06,7,E07LA1,"M - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?",NA,A) Missy felting healthy. [prgrph] B) Missy feeled healthy. [prgrph] C) Missy feels healthy.,NA,A,B,C,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1M07,7,E07LA1,"M - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?",NA,A) Loli and I swim. [prgrph] B) Loli and I to pool. [prgrph] C) Loli and I swimming.,NA,A,B,C,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1M08,7,E07LA1,"M - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?",NA,A) He try unlock door. [prgrph] B) He tries to unlock the door. [prgrph] C) He trying door unlock.,NA,A,B,C,b,No changes. The item is a M level.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA1MSAMPLE,7,E07LA1,"M - Here are three sentences. (Point to each sentence and read them to student.) Which sentence is correct: A, B, or C?",NA,A) I like to walked with her. [prgrph] B) I like to walk with her. [prgrph] C) I like to walking with her.,NA,A,B,C,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
E07LA2H09,7,E07LA2,H - Here are three spellings of the word America. (Point to each.) Which word is spelled correctly? (Point to answer choices.),Here are three spellings of the word America. [highlight answer choices] Which word is spelled correctly? [highlight answer choices],Which word is spelled correctly?,NA,Amerc,America,Amurice,b,No Changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G7_E07LA2H09_intro.mp3,ELA_G7_E07LA2H09_stem.mp3,NA,NA,NA,FT,OI,OI,OI,NA,1.16747914595037,1.18,1.18,1.18
E07LA2H10,7,E07LA2,H - Here are three spellings of the word cracker. (Point to each.) Which word is spelled correctly?,NA,Which word is spelled correctly?,NA,craquer,kraker,cracker,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.26,NA
E07LA2H11,7,E07LA2,H - Here are three spellings of the word bicycle. (Point to each.) Which word is spelled correctly?,NA,Which word is spelled correctly?,NA,bicycle,baicicle,bycicle,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.73,1.73,NA
E07LA2H12,7,E07LA2,H - Here are three spellings of the word blanket. (Point to each.) Which word is spelled correctly?,NA,Which word is spelled correctly?,NA,blanquete,blanket,blonkete,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
E07LA2HSAMPLE,7,E07LA2,H - Here are three spellings of the word picture. (Point to each.) Which word is spelled correctly?,Here are three spellings of the word picture. [highlight answer choices] Which word is spelled correctly? [No audio for answer choices],Which word is spelled correctly?,NA,pectur,pictor,picture,c,No Changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G7_E07LA2HSAMPLE_intro.mp3,ELA_G7_E07LA2HSAMPLE_stem.mp3,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.934
E07LA2L01,7,E07LA2,L - Here are three pictures with words. (Point to each.) Which word is brush?,NA,NA,NA,bug,brush,bag,b,Changed the graphic of the brush to a better picture.,NA,Lady_Bug1.ai,Paint_Brush.ai,Bag.ai,Animals/Household Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA2L02,7,E07LA2,L - Here are three pictures with words. (Point to each.) Which word is grape?,NA,NA,NA,grape,girl,game,a,No Changes.,NA,Grapes2.ai,Girl_Smiling4.ai,Gaming_Console.ai,Food/People/Household Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA2L03,7,E07LA2,L - Here are three pictures with words. Which word is apple?,NA,NA,NA,apron,angle,apple,c,No Changes.,NA,Girl15.ai,45Degree_Angle.ai,Apple1.ai,People/Measurement/Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E07LA2L04,7,E07LA2,L - Here are three pictures with words. (Point to each.) Which word is candy?,NA,NA,NA,candy,candle,cake,a,No Changes.,NA,Chocolate1.ai,Candle1.ai,Cake1.ai,Food/Household Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA2M05,7,E07LA2,M - Here are three spellings of the word carrot. (Point to each.) Which word is spelled correctly?,NA,Which word is spelled correctly?,NA,cerot,carrot,carrop,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E07LA2M06,7,E07LA2,M - Here are three spellings of the word bubble. (Point to each.) Which word is spelled correctly?,NA,Which word is spelled correctly?,NA,bobbli,buubl,bubble,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA2M07,7,E07LA2,M - Here are three spellings of the word cheese. (Point to each.) Which word is spelled correctly?,NA,Which word is spelled correctly?,NA,chiz,cheese,chiis,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA2M08,7,E07LA2,M - Here are three spellings of the word letter. (Point to each.) Which word is spelled correctly?,NA,Which word is spelled correctly?,NA,letter,letre,letur,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4H09,7,E07LA4,"H - Here are three words. (Point to each.) There are several ways that we can have fun. What is another word for several: many, none, or have?",NA,There are several ways that we can have fun. [prgrph] What is another word for several?,NA,many,none,have,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4H10,7,E07LA4,"H - Here are three words. (Point to each.) We have the freedom to walk around in the classroom. What is another word for freedom: thanks, party, or liberty?",NA,We have the freedom to walk around in the classroom. [prgrph] What is another word for freedom?,NA,thanks,party,liberty,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4H11,7,E07LA4,"H - Here are three words. (Point to each.) The sky is blue, however, the night is dark. What is another word for however: can, but, or yes?",NA,"The sky is blue, however, the night is dark. [prgrph] What is another word for however?",NA,can,but,yes,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4H12,7,E07LA4,"H - Here are three words. (Point to each.) Gemma likes to look at the picture while she reads. What is another word for picture: animal, photo, or notes?",NA,Gemma likes to look at the picture while she reads. [prgrph] What is another word for picture?,NA,animal,photo,notes,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.10297914595037,1.12,NA,NA
E07LA4L01,7,E07LA4,"L - Here are three pictures with words. (Point to each.) Mother came into the room. What is another word for mother: dad, boy, or mom?",NA,Mother came into the room. [prgrph] What is another word for mother?,NA,dad,boy,mom,c,No Changes.,NA,Man4.ai,Boy4.ai,Girl27.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4L02,7,E07LA4,"L - Here are three pictures with words. (Point to each.) My sister is younger. What is another word for sister: boy, girl, or guy?",NA,My sister is younger. [prgrph] What is another word for sister?,NA,boy,girl,guy,b,No Changes.,NA,Boy2.ai,Girl_Smiling4.ai,Girl27.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4L03,7,E07LA4,"L - Here are three pictures with words. (Point to each.) You must choose your favorite cookie. What is another word for choose: pour, time, or pick?",NA,You must choose your favorite cookie. [prgrph] What is another word for choose?,NA,pour,time,pick,c,Delete Item,NA,Pitcher3.ai,Clock22.ai,Cookie1.ai,Household_Objects/Time/Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4L04,7,E07LA4,"L - Here are three pictures with words. (Point to each.) Maggie reached the finish line. What is another word for finish: end, jump, or swim?",NA,Maggie reached the finish line. [prgrph] What is another word for finish?,NA,end,jump,swim,a,"Changed ""end"" graphic to a better picture.",NA,Girl_Running3.ai,Girl_Jumping.ai,Person_Swimming.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4LSAMPLE,7,E07LA4,"L - Here are three pictures with words. (Point to each.) Erin was very joyful to help. What is another word for joyful: happy, sadly, or frown?",NA,Erin was very joyful to help. [prgrph] What is another word for joyful?,NA,happy,sadly,frown,a,No Changes.,NA,Girl_Smiling1.ai,Girl_Straight_Face.ai,Girl_Sad1.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4M05,7,E07LA4,"M - Here are three words. (Point to each.) We live in a free country. Which one of these is a country: Bend, Oregon, or U.S.A.?",NA,We live in a free country. [prgrph] Which one of these is a country?,NA,Bend,Oregon,U.S.A.,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4M06,7,E07LA4,"M - Here are three words. (Point to each.) I had a thought about my cat. 
What is another word for thought: bend, think , or  jump?",NA,I had a thought about my cat. [prgrph] What is another word for thought?,NA,bend,think,jump,b,"Changed item totally with a word, thought, that is from a Fry wordlist.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4M07,7,E07LA4,"M - Here are three words. (Point to each.) I have never seen that unusual bird. What is another word for unusual: strange, cold, or metal?",NA,I have never seen that unusual bird. [prgrph] What is another word for unusual?,NA,strange,cold,metal,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA4M08,7,E07LA4,"M - Here are three words. (Point to each.) I had a thought that might work. What is another word for thought: market, idea, or joke?",NA,I had a thought that might work. [prgrph] What is another word for thought?,NA,market,idea,joke,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA5H09,7,E07LA5,"H - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to and read sentences to student.) Shoveled their food in means they ate _____: fast, slow, or nothing?",NA,"It was lunch time and Fatima and Rayna were late. The girls got in line quickly and hurried to their table. They shoveled their food in so they could finish lunch on time. They didn't want to miss PE.
[prgrph] Shoveled their food in means they ate _____?",NA,fast,slow,nothing,a,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA5H10,7,E07LA5,"H - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to and read sentences to student.) What does hurry mean: quickly, wait, or stop?","Here are three words. [highlight answer choices] I will read sentences to you, follow along. [highlight sentence] What does hurry mean: quickly, wait, or stop?",Miles wanted to walk to class with Beth. He was waiting for her in the hallway. She was talking to a friend. He knew they'd have to hurry to get to class before the bell rang. [prgrph] What does hurry mean?,NA,quickly,wait,stop,a,No Changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G7_E07LA5H10_intro.mp3,ELA_G7_E07LA5H10_stem.mp3,ELA_G7_E07LA5H10_a.mp3,ELA_G7_E07LA5H10_b.mp3,ELA_G7_E07LA5H10_c.mp3,FT,NA,NA,OI,NA,0.867279145950375,NA,NA,0.573
E07LA5H11,7,E07LA5,"H - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to and read sentences to student.) What does over his head mean: easy, boring, or hard?",NA,Sam went to the library. He likes to learn new things. He tried to read the book about geology. The book was over his head. [prgrph] What does over his head mean?,NA,easy,boring,hard,c,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07LA5H12,7,E07LA5,"H - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to and read sentences to student.) What does terrified mean: excited, scared, or happy?",NA,Lucas went to the mall with his friends. They entered one of the large stores. When Lucas turned around he couldn't find his friends. He was terrified that he had gotten lost. [prgrph] What does terrified mean?,NA,excited,scared,happy,b,No Changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
