item_id,domain,group,standards,item_information,prompt,option_a,option_b,option_c,correct,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
S08ESS1.2H10,ESS - FT,8,S08ESS1.2,"H - This astronaut is walking on the moon. (Point to prompt.) What force keeps astronauts on the Moon: wind, glue, or gravity?",What force keeps astronauts on the Moon?,wind,glue,gravity,c,Astronaut_Moon.ai,Cloud15.ai,Glue1.ai,Moon_Arrow1.ai,Astronomy/Weather/Classroom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,-0.43,-0.43,NA,NA
S08ESS1.2H14,NA,8,S08ESS1.2,"H - Here is a comet, Earth and the Sun. (Point to the prompt.) Which forces comets to orbit the Sun: electricity, magnets, or gravity?",Which forces comets to orbit the Sun?,electricity,wind,gravity,c,Comet_Sun_Earth.ai,Cloud_Lightning.ai,Cloud15.ai,Sun_Arrows.ai,Astronomy/Weather,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G8_S08ESS1.2H14_intro.mp3,Science_G8_S08ESS1.2H14_stem.mp3,Science_G8_S08ESS1.2H14_a.mp3,Science_G8_S08ESS1.2H14_b.mp3,Science_G8_S08ESS1.2H14_c.mp3,NA,NA,FT,OI,NA,NA,NA,0.68,0.68
S08ESS1.2H15,NA,8,S08ESS1.2,"H - Here is the planet Saturn. Saturn has rings made of ice and dust. (Point to the prompt.) Which force keeps Saturn's rings in orbit: magnetic, gravity, or wind?",Saturn has rings made of ice and dust. Which force keeps Saturn's rings in orbit?,magnetic,gravity,wind,b,Girl_Computer.ai,TV_Trash.ai,Hammer_Laptop.ai,Hand_Wall_Plug.ai,People,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G8_S08ESS1.2H15_intro.mp3,Science_G8_S08ESS1.2H15_stem.mp3,Science_G8_S08ESS1.2H15_a.mp3,Science_G8_S08ESS1.2H15_b.mp3,Science_G8_S08ESS1.2H15_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,0.9016
S08ESS1.2H20,NA,8,S08ESS1.2,"H - Here is the solar system. (Point to a prompt.) What force keeps the planets in orbit around the Sun: gravity, lightning, or magnetism?",What force keeps the planets in orbit around the Sun?,gravity,lightning,magnetism,a,Solar_System3.ai,Sun_Arrows.ai,Lightning1.ai,Magnet1.ai,Astronomy/Weather/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S08ESS1.2H4,NA,8,S08ESS1.2,"H - Here is Jupiter and four moons. (Point to diagram of Jupiter and its moons.) What does gravity do to Jupiter's moons: holds them in orbit, pushes them far away, or stops them from moving?",What does gravity do to Jupiter's moons?,holds them in orbit,pushes them far away,stops them from moving,a,Jupiter_Moon.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S08ESS1.2H5,ESS - OI,8,S08ESS1.2,"H - Here is our Solar System. (Point to diagram of solar system.) What does gravity force the planets to do: orbit the Sun, stop moving, or orbit the Earth?",What does gravity force the planets to do?,orbit the Sun,stop moving,orbit the Earth,a,Solar_System3.ai,NA,NA,NA,Astronomy,prompt + graphic,word only,word only,word only,Science_G8_S08ESS1.2H5_intro.mp3,Science_G8_S08ESS1.2H5_stem.mp3,Science_G8_S08ESS1.2H5_a.mp3,Science_G8_S08ESS1.2H5_b.mp3,Science_G8_S08ESS1.2H5_c.mp3,FT,OI,OI,OI,NA,2.48,2.48,2.48,2.48
S08ESS1.2HSAMPLE,NA,8,S08ESS1.2,"H - Here is our Solar System.  (Point to diagram of solar system.)  Which force makes planets orbit around the Sun: electrical, magnetic, or gravity?",Which force makes planets orbit around the Sun?,electrical,magnetic,gravity,c,Solar_System3.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08ESS1.2L1,NA,8,S08ESS1.2,"L - This boy has a ball. (Point to ball in boy's hand.) If the boy drops the ball, where will it go: up, down, or to the side?","If the boy drops the ball, where will it go?",up,down,side,b,Boy_Ball1.ai,Boy_Ball7.ai,Boy_Ball8.ai,Boy_Ball9.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.41,NA,NA,NA
S08ESS1.2L11,NA,8,S08ESS1.2,"L - Here is an apple. (Point to the prompt.) Which direction will the apple fall: up, down, or sideways?",Which direction will the apple fall?,up,down,sideways,b,Apple_Tree5.ai,Apple_Tree6.ai,Apple_Tree7.ai,Apple_Tree8.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08ESS1.2L16,NA,8,S08ESS1.2,"L - Frank drops a ball. (Point to prompt.) Which direction will the ball go: up, down, or to the right?",Which direction will the ball go?,up,down,right,b,Boy_Ball1.ai,Hand_Ball6.ai,Hand_Ball7.ai,Hand_Ball8.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08ESS1.2L17,NA,8,S08ESS1.2,"L - Here is an orange tree. (Point to prompt.) Which direction will the orange go when it falls from the tree: down, up or sideways?",Which direction will the orange go when it falls from the tree?,down,up,sideways,a,Apple_Tree5.ai,Apple_Tree7.ai,Apple_Tree6.ai,Apple_Tree8.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08ESS1.2L6,ESS - OI,8,S08ESS1.2,"L - Here is a backpack. (Point to student materials.) Which way does the backpack go when dropped: down, up, or sideways?",Which way does the backpack go when dropped?,down,up,sideways,a,NA,Hand_Backpack.ai,Hand_Backpack2.ai,Hand_Backpack3.ai,People,prompt (SM),graphic + word,graphic + word,graphic + word,Science_G8_S08ESS1.2L6_intro.mp3,Science_G8_S08ESS1.2L6_stem.mp3,Science_G8_S08ESS1.2L6_a.mp3,Science_G8_S08ESS1.2L6_b.mp3,Science_G8_S08ESS1.2L6_c.mp3,FT,OI,OI,OI,NA,0.47,0.47,0.47,0.47
S08ESS1.2L7,NA,8,S08ESS1.2,"L - Here is a pair of shoes. (Point to student materials.) Which way do the shoes move when dropped: up, down, or sideways?",Which way do the shoes move when dropped?,up,down,sideways,b,Shoe4.ai,Hand_Shoe.ai,Hand_Shoe2.ai,Hand_Shoe3.ai,Clothing/People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.36,NA,NA,NA
S08ESS1.2M12,NA,8,S08ESS1.2,"M - Here is the Earth and the Moon. (Point to the prompt.) Which force does the Earth put on the Moon: magnetic, gravity, or wind?",Which force does the Earth put on the Moon?,magnetic,gravity,wind,b,Moon_Orbiting_Earth3.ai,Magnet1.ai,Earth_Arrows4.ai,Cloud15.ai,Astronomy/Misc./Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08ESS1.2M13,NA,8,S08ESS1.2,"M - Here is the Earth and Sun. (Point to the prompt.) Which force does the Sun put on the Earth: gravity, electricity, or wind?",Which force does the Sun put on the Earth?,gravity,electricity,wind,a,Earth_Orbiting_Sun3.ai,Sun_Arrows.ai,Lightning1.ai,Wind5.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08ESS1.2M18,NA,8,S08ESS1.2,"M - Here is the Earth and Sun. (Point to prompt.) What force keeps the Earth in orbit around the Sun: glue, gravity, or magnetic?",What force keeps the Earth in orbit around the Sun?,glue,gravity,magnetic,b,Earth_Orbiting_Sun2.ai,Glue1.ai,Sun_Arrows.ai,Magnet1.ai,Astronomy/Classroom/Weather/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA
S08ESS1.2M19,NA,8,S08ESS1.2,"M - Here is the Earth and Sun. (Point to prompt.) What force keeps the Earth close to the Sun: glue, electricity, or gravity?",What force keeps the Earth close to the Sun?,glue,electricity,gravity,c,Earth_Orbiting_Sun3.ai,Glue1.ai,Lightning1.ai,Sun_Arrows.ai,Astronomy/Classroom/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08ESS1.2M2,NA,8,S08ESS1.2,"M - Here is the Earth and the Sun. (Point to diagram of Earth and Sun.) What force causes the Earth to orbit the Sun: air, speed, or gravity?",What force causes the Earth to orbit the Sun?,air,speed,gravity,c,Earth_Orbiting_Sun2.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.03,NA,NA,NA
S08ESS1.2M3,NA,8,S08ESS1.2,"M - Here is the Earth and the Moon. (Point to diagram of Earth and Moon) What force causes the Moon to orbit the Earth: air, speed, or gravity?",What force causes the Moon to orbit the Earth?,air,speed,gravity,c,Moon_Orbiting_Earth2.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
