item_id,domain,group,standards,item_information,prompt,option_a,option_b,option_c,correct,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
S11ESS1.1H10,NA,11,S11ESS1.1,"H - This is the Sun and Earth. (Point to prompt.) How does the Sun give the Earth energy: lunar rotation, solar radiation, or orbiting comets?",How does the Sun gives the Earth energy?,lunar rotation,solar radiation,orbiting comets,b,Sun_Earth7.ai,Moon11.ai,Wind18.ai,Comet_Orbiting.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1H14,NA,11,S11ESS1.1,"H - The Sun gives off different types of radiation. (Point to diagram in prompt.) Which type of radiation from the Sun is dangerous to people: moonlight, visible light, or ultraviolet?",Which type of radiation from the Sun is dangerous to people?,moonlight,visible light,ultraviolet,c,Sun_Earth8.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1H15,NA,11,S11ESS1.1,"H -  The Sun gives off different types of radiation. (Point to diagram in prompt.) Which type of radiation helps humans to see during the day: ultraviolet, moonlight, or visible light?",Which type of radiation helps humans to see during the day?,UV,moonlight,visible light,c,Sun_Earth8.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1H20,NA,11,S11ESS1.1,"H - Here are three pictures. (Point to answer choices.) Which shows a form of radiation: rain, wind, or sunlight?",Which shows a form of radiation?,rain,wind,sunlight,c,NA,Rain14.ai,Wind7.ai,Sun1.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1H4,NA,11,S11ESS1.1,"H - This is the Sun and the Earth. (Point to prompt.) What does the Sun release to the Earth: radiation, wind, or rain?",What does the Sun release to the Earth?,radiation,wind,rain,a,Sun_Earth5.ai,Wind18.ai,Wind7.ai,Rain14.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1H5,NA,11,S11ESS1.1,"H - This diagram shows the Sun heating the Earth. (Point to diagram in prompt.) What traps heat from the Sun close to the Earth: outer space, the Earth's atmosphere, or ocean waves?",What traps heat from the Sun close to the Earth?,outer space,Earth's atmosphere,ocean waves,b,Sun_Earth6.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1L1,NA,11,S11ESS1.1,"L - This is the Sun and Earth. (Point to prompt.) Which does the Sun give the Earth: light, wind, or snow?",Which does the Sun give the Earth?,light,wind,snow,a,Earth_Orbiting_Sun3.ai,Sun1.ai,Wind8.ai,Snow5.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1L11,NA,11,S11ESS1.1,"L - This is the Earth. (Point to prompt.) Which gives the Earth warmth and light: Moon, Sun, or Saturn?",Which gives the Earth warmth and light?,Moon,Sun,Saturn,b,Earth3.ai,Moon_Stars6.ai,Sun1.ai,Saturn.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,NA,NA,NA
S11ESS1.1L16,ESS - OI,11,S11ESS1.1,"L - Here are three pictures. (Point to answer choices.) Which gives the Earth light energy: Sun, apple, or microwave?",Which gives the Earth light energy?,Sun,apple,microwave,a,NA,Sun1.ai,Apple1.ai,Microwave1.ai,Weather/Food/Household Objects,prompt (SM),graphic + word,graphic + word,graphic + word,Science_G11_S11ESS1.1L16_intro.mp3,Science_G11_S11ESS1.1L16_stem.mp3,Science_G11_S11ESS1.1L16_a.mp3,Science_G11_S11ESS1.1L16_b.mp3,Science_G11_S11ESS1.1L16_c.mp3,FT,OI,OI,OI,NA,-0.5,-0.5,-0.5,-0.5
S11ESS1.1L17,NA,11,S11ESS1.1,"L - Here are three pictures. (Point to answer choices.) Which is a source of heat energy for the Earth: bowl, comet, or Sun?",Which is a source of heat energy for the Earth?,bowl,comet,Sun,c,NA,Bowl4.ai,Comet.ai,Sun1.ai,Household Objects/Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1L6,NA,11,S11ESS1.1,"L - Here are three pictures. (Point to answer choices.) Which makes us warmer in the daytime: Sun, Moon, or stars?",Which makes us warmer in the daytime?,Sun,Moon,stars,a,NA,Sun1.ai,Moon3.ai,Stars5.ai,Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1L7,NA,11,S11ESS1.1,"L - Here are three pictures. (Point to answer choices.) Which makes it light outside during the day: stars, Moon, or Sun?",Which makes it light outside during the day?,stars,Moon,Sun,c,NA,Stars6.ai,Moon3.ai,Sun1.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
