item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M07EXE1.1_H09,7,M07EXE1.1,"(H) The teacher has mystery prize boxes filled with gummy treats. No one knows how much fits in each box. The teacher marked an X on the side of each box. (Point to student materials.) On Monday the teacher gave out 25 prize boxes and on Tuesday she gave out 6 prize boxes. We can write that as ""25x + 6x (Point to first  representation of expression.) or 25x plus 6x."" (Point to second representation of expression.) 25x + 6x equals what: 25x, 31x, or 35x?",25x + 6x equals what?,25x,31x,35x,b,NA,Addition_25x+5x.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M07EXE1.1_H10,7,M07EXE1.1,"(H) The teacher has mystery prize boxes filled with gummy treats. No one knows how much fits in each box. The teacher marked an X on the side of each box. (Point to student materials.) On Monday the teacher gave out 30 prize boxes and on Tuesday she gave out 5 prize boxes. We can write that as ""30x + 5x  (Point to first  representation of expression.) or 30x plus 5x."" (Point to second representation of expression.) 30x + 5x equals what: 35x, 36x, or 37x?",30x + 5x equals what?,35x,36x,37x,a,NA,Addition_30x+5x.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.62,NA,NA
M07EXE1.1_H11,7,M07EXE1.1,"(H) The teacher has mystery prize boxes filled with gummy treats. No one knows how much fits in each box. The teacher marked an X on the side of each box. (Point to student materials.) On Monday the teacher gave out 40 prize boxes and on Tuesday she gave out 5 prize boxes. We can write that as ""40x + 5x  (Point to first  representation of expression) or 40x plus 5x."" (Point to second representation of expression.) 40x + 5x equals what: 45x, 55x, or 65x?",40x + 5x equals what?,45x,55x,65x,a,NA,Addition_40x+5x.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.75,NA
M07EXE1.1_H12,7,M07EXE1.1,"(H) The teacher has mystery prize boxes filled with gummy treats. No one knows how much fits in each box. The teacher marked an X on the side of each box. (Point to student materials.) On Monday the teacher gave out 25 prize boxes and on Tuesday she gave out 25 prize boxes. We can write that as ""25x + 25x  (Point to first  representation of expression.) or 25x plus 25x."" (Point to second representation of expression.) 25x + 25x equals what: 40x, 45x, or 50x?",25x + 25x equals what?,40x,45x,50x,c,NA,Addition_25x+25x.ai,NA,NA,NA,Math Equations,prompt + graphic,number only,number only,number only,Math_G7_M07EXE1.1_H12_intro.mp3,Math_G7_M07EXE1.1_H12_stem.mp3,Math_G7_M07EXE1.1_H12_a.mp3,Math_G7_M07EXE1.1_H12_b.mp3,Math_G7_M07EXE1.1_H12_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,0.0988
M07EXE1.1_L01,7,M07EXE1.1,"(L) Here is an addition problem with pennies. (Point to student materials.) A penny is one cent. One penny plus two pennies is how many pennies: 1, 2, or 3?",One penny plus two pennies is how many pennies?,1,2,3,c,NA,Addition_Pennies1.ai,Penny1.ai,Penny2.ai,Penny3.ai,"Money, Math Equations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M07EXE1.1_L02,7,M07EXE1.1,"(L) Here is an addition problem with pennies. (Point to student materials.) A penny is one cent. Two pennies plus two pennies is how many pennies: 3, 4, or 5?",Two pennies plus two pennies is how many pennies?,3,4,5,b,NA,Addition_Pennies2.ai,Penny3.ai,Penny4.ai,Penny5.ai,"Money, Math Equations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M07EXE1.1_L03,7,M07EXE1.1,"(L) Here is an addition problem with pennies. (Point to student materials.) A penny is one cent. Three pennies plus one  penny is how many pennies: 2, 3, or 4?",Three pennies plus one  penny is how many pennies?,2,3,4,c,NA,Addition_Pennies3.ai,Penny2.ai,Penny3.ai,Penny4.ai,"Money, Math Equations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M07EXE1.1_L04,7,M07EXE1.1,"(L) Here is an addition problem with pennies. (Point to student materials.) A penny is one cent. Four pennies plus one  penny is how many pennies: 5, 6, or 7?",Four pennies plus one  penny is how many pennies?,5,6,7,a,NA,Addition_Pennies4.ai,Penny5.ai,Penny6.ai,Penny7.ai,"Money, Math Equations",NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M07EXE1.1_M05,7,M07EXE1.1,"(M) Here is an addition problem with nickels. (Point to student materials.) A nickel is 5 cents. How much money is 1 nickel plus 2 nickels: 10 cents, 15 cents, or 20 cents?","n = 5 cents

How much money is 1 nickel plus 2 nickels?

1n + 2n",NA,NA,NA,b,NA,Addition_Nickels1.ai,Nickel1.ai,Nickel2.ai,Nickel3.ai,"Money, Math Equations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M07EXE1.1_M06,7,M07EXE1.1,"(M) Here is an addition problem with nickels (Point to student materials.) A nickel is 5 cents. How much money is 2 nickels plus 2 nickels: 15 cents, 20 cents, or 25 cents?","n = 5 cents

How much money is 2 nickels plus 2 nickels?

2n + 2n",15 cents,20 cents,25 cents,b,NA,Addition_Nickels2.ai,Nickel4.ai,Nickel5.ai,Nickel6.ai,"Money, Math Equations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.39,NA,NA
