item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M03GEO1.1_H09,3,M03GEO1.1,"H - Here are three shapes. (Point to student materials.) Which of these shapes is a circle: A, B, or C?",Which of these shapes is a circle?,A,B,C,a,NA,NA,Circle1.ai,Square1.ai,Triangle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-2.86004401041417,NA,NA,NA
M03GEO1.1_H10,3,M03GEO1.1,"H - Here are three shapes. (Point to student materials.) Which of these shapes is a circle: A, B, or C?",Which of these shapes is a circle?,A,B,C,c,NA,NA,Triangle1.ai,Square1.ai,Circle1.ai,Shapes,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G3_M03GEO1.1_H10_intro.mp3,Math_G3_M03GEO1.1_H10_stem.mp3,Math_G3_M03GEO1.1_H10_a.mp3,Math_G3_M03GEO1.1_H10_b.mp3,Math_G3_M03GEO1.1_H10_c.mp3,FT,OI,OI,OI,NA,-3.03154401041417,-3.07,-3.07,-3.07
M03GEO1.1_H11,3,M03GEO1.1,"H - Here are three shapes. (Point to student materials.) Which of these shapes is a circle: A, B, or C?",Which of these shapes is a circle?,A,B,C,a,NA,NA,Circle1.ai,Triangle1.ai,Square1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-2.72114401041417,NA,NA,NA
M03GEO1.1_H12,3,M03GEO1.1,"H - Here are three shapes. (Point to student materials.) Which of these shapes is a circle: A, B, or C?",Which of these shapes is a circle?,A,B,C,b,NA,NA,Square1.ai,Circle1.ai,Triangle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-2.92464401041417,NA,NA,NA
M03GEO1.1_L01,3,M03GEO1.1,"L - Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,a,NA,NA,Triangle1.ai,Square1.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M03GEO1.1_L02,3,M03GEO1.1,"L - Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,b,NA,NA,Square1.ai,Triangle1.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-2.49454401041417,NA,NA,NA
M03GEO1.1_L03,3,M03GEO1.1,"L - Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,a,NA,NA,Triangle1.ai,Circle1.ai,Square1.ai,Shapes,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G3_M03GEO1.1_L03_intro.mp3,Math_G3_M03GEO1.1_L03_stem.mp3,Math_G3_M03GEO1.1_L03_a.mp3,Math_G3_M03GEO1.1_L03_b.mp3,Math_G3_M03GEO1.1_L03_c.mp3,FT,OI,OI,OI,NA,-1.76174401041417,-1.8,-1.8,-1.8
M03GEO1.1_L04,3,M03GEO1.1,"L - Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,c,NA,NA,Circle1.ai,Square1.ai,Triangle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-2.55514401041417,NA,NA,NA
M03GEO1.1_M05,3,M03GEO1.1,"M - Here are three shapes. (Point to student materials.) Which of these shapes is a square: A, B, or C?",Which of these shapes is a square?,A,B,C,b,NA,NA,Circle1.ai,Square1.ai,Triangle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.98494401041417,NA,NA,NA
M03GEO1.1_M06,3,M03GEO1.1,"M - Here are three shapes. (Point to student materials.) Which of these shapes is a square: A, B, or C?",Which of these shapes is a square?,A,B,C,b,NA,NA,Triangle1.ai,Square1.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-2.34754401041417,NA,NA,NA
