item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M04GEO1.1_H09,4,M04GEO1.1,"H -  Here is a square with parts labeled A, B, C, D, E, F, G, H. (Point to student materials.) Which of these is an angle: E, B, or A?",Which of these is an angle?,E,B,A,a,NA,Square_Letters.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.91,NA
M04GEO1.1_H10,4,M04GEO1.1,"H -  Here is a triangle with parts labeled A, B, C, D, E, and F. (Point to student materials.) Which of these is an angle: C, F, or A?",Which of these is an angle?,C,F,A,b,NA,Triangle14.ai,NA,NA,NA,Shapes,prompt + graphic,letter only,letter only,letter only,Math_G4_M04GEO1.1_H10_intro.mp3,Math_G4_M04GEO1.1_H10_stem.mp3,Math_G4_M04GEO1.1_H10_a.mp3,Math_G4_M04GEO1.1_H10_b.mp3,Math_G4_M04GEO1.1_H10_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,0.505
M04GEO1.1_H11,4,M04GEO1.1,"H -  Here is a square with parts labeled A, B, C, D, E, F, G, H. (Point to student materials.) Which of these is an angle: B, A, or H?",Which of these is an angle?,B,A,H,c,NA,Square_Letters.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.04,NA,NA
M04GEO1.1_H12,4,M04GEO1.1,"H -  Here is a traingle with parts labeled A, B, C, D, E, and F. (Point to student materials.) Which of these is an angle: D, B, or C?",Which of these is an angle?,D,B,C,a,NA,Triangle14.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.48,NA
M04GEO1.1_L01,4,M04GEO1.1,"L -  Which of these three pictures (Point to student materials.) is a point: A, B, or C?",Which of these three pictures is a point?,A,B,C,b,NA,NA,Acute_Angle3.ai,Dot_B.ai,Line_C.ai,"Graphs_Number Lines_Tables, Shapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.1_L02,4,M04GEO1.1,"L -  Which of these three pictures (Point to student materials.) is a point: A, B, or C?",Which of these three pictures is a point?,A,B,C,c,NA,NA,Line_A.ai,RightAngle_B.ai,Dot_C.ai,"Graphs_Number Lines_Tables, Shapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.1_L03,4,M04GEO1.1,"L -  In which of these three pictures (Point to student materials.) is a point circled: A, B, or C?",In which of these three pictures is a point circled?,A,B,C,a,NA,NA,Square4.ai,Square5.ai,Square6.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.1_L04,4,M04GEO1.1,"L -  Which of these three pictures (Point to student materials.) is a point: A, B, or C?",Which of these three pictures is a point?,A,B,C,c,NA,NA,Line_A.ai,Line_B.ai,Dot_C.ai,"Graphs_Number Lines_Tables, Shapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.1_M05,4,M04GEO1.1,"M -  Here is a square with parts labeled A, B, C, D, E, F, G, and H. (Point to student materials.) Which of these is a line segment: E, B, or H?",Which of these is a line segment?,E,B,H,b,NA,Square_Letters.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.1_M06,4,M04GEO1.1,"M -  Here is a triangle with parts labeled A, B, C, D, E, and F. (Point to student materials.) Which of these is a line segment: D, E, or A?",Which of these is a line segment?,D,E,A,c,NA,Triangle14.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.77,NA,NA
M04GEO1.1_M07,4,M04GEO1.1,"M -  Here is a square with parts labeled A, B, C, D, E, F, G, H. (Point to student materials.) Which of these is a line segment: C, G, or H?",Which of these is a line segment?,C,G,H,a,NA,Square_Letters.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.1_M08,4,M04GEO1.1,"M -  Here is a traingle with parts labeled A, B, C, D, E, and F. (Point to student materials.) Which of these is a line segment: F, D, or B?",Which of these is a line segment?,F,D,B,c,NA,Triangle14.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,FT,NA,NA,NA,NA
M04GEO1.1_SAMPLE,4,M04GEO1.1,"H -  Here is a triangle with parts labeled A, B, C, D, E, and F. (Point to student materials.) Which of these is an angle: E, A, or C?",Which of these is an angle?,E,A,C,a,NA,Triangle15.ai,NA,NA,NA,Shapes,prompt + graphic,number only,number only,number only,Math_G4_M04GEO1.1_SAMPLE_intro.mp3,Math_G4_M04GEO1.1_SAMPLE_stem.mp3,Math_G4_M04GEO1.1_SAMPLE_a.mp3,Math_G4_M04GEO1.1_SAMPLE_b.mp3,Math_G4_M04GEO1.1_SAMPLE_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.0851
M04GEO1.2_H09,4,M04GEO1.2,"M -  Here are three shapes. (Point to student materials.) Which of these shapes is a rectangle: A, B, or C?",Which of these shapes is a rectangle?,A,B,C,b,NA,NA,Triangle2.ai,Rectangle1.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.29,NA,NA,NA
M04GEO1.2_H10,4,M04GEO1.2,"M -  Here are three shapes. (Point to student materials.) Which of these shapes is rectangle: A, B, or C?",Which of these shapes is a rectangle?,A,B,C,c,NA,NA,Star1.ai,Diamond.ai,Rectangle2.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.29,NA,NA,NA
