item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M06EXE1.1_H09,6,M06EXE1.1,"(H)  Here is a description of an expression, ""Six times m, plus k, minus 2."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","Six times m, plus k, minus 2

Which of these expressions matches the description?",6 - m + k + 2,6m + 2,6m + k - 2,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.69,NA,NA,NA
M06EXE1.1_H10,6,M06EXE1.1,"(H) Here is a description of an expression, ""Nine plus four times x, minus three times y."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","Nine plus four times x, minus three times y

Which of these expressions matches the description?",9 + 4x - 3y,9x + 4y,9 + 3y,a,NA,NA,NA,NA,NA,NA,prompt (SM),number + letter,number + letter,number + letter,Math_G6_M06EXE1.1_H10_intro.mp3,Math_G6_M06EXE1.1_H10_stem.mp3,Math_G6_M06EXE1.1_H10_a.mp3,Math_G6_M06EXE1.1_H10_b.mp3,Math_G6_M06EXE1.1_H10_c.mp3,FT,OI,OI,OI,NA,0.1,0.1,0.1,0.1
M06EXE1.1_H11,6,M06EXE1.1,"(H) Here is a description of an expression, ""Eight plus four times d, divided by c."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","Eight plus four times d, divided by c

Which of these expressions matches the description?",8c + 4d,8 + 4d ÷ c,8 ÷ c + 4d,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M06EXE1.1_H12,6,M06EXE1.1,"(H) Here is a description of an expression, ""x minus y, plus z."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","x minus y, plus z

Which of these expressions matches the description?",x - y + z,y - x + z,z + y - x,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M06EXE1.1_L01,6,M06EXE1.1,"(L) Here is a description of an expression, ""Three plus m."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","Three plus m

Which of these expressions matches the description?",3 + m,3m,3 - m,a,NA,NA,NA,NA,NA,NA,prompt (SM),number + letter,number + letter,number + letter,Math_G6_Item8_intro.mp3,Math_G6_Item8_stem.mp3,Math_G6_Item8_a.mp3,Math_G6_Item8_b.mp3,Math_G6_Item8_c.mp3,FT,OI,OI,OI,NA,-0.14,-0.14,-0.14,-0.14
M06EXE1.1_L02,6,M06EXE1.1,"(L) Here is a description of an expression, ""k minus 4."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","k minus 4

Which of these expressions matches the description?",4 - k,4k,k - 4,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.08,NA,NA,NA
M06EXE1.1_L03,6,M06EXE1.1,"(L) Here is a description of an expression, ""x divided by 2."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","x divided by 2

Which of these expressions matches the description?",x ÷ 2,2 ÷ x,2x,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M06EXE1.1_L04,6,M06EXE1.1,"(L) Here is a description of an expression, ""Ten times f."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","Ten times f

Which of these expressions matches the description?",10 ÷ f,10f,10 - f,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M06EXE1.1_M05,6,M06EXE1.1,"(M) Here is a description of an expression, ""Two times x, plus four."" (Point to student materials.)  Which of these expressions matches the description: A, B, or C?","Two times x, plus 4

Which of these expressions matches the description?",2 + x + 4,2x + 4,2 ÷ x + 4,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.74,NA,NA,NA
M06EXE1.1_M06,6,M06EXE1.1,"(M) Here is a description of an expression, ""Five divided by b, plus three."" (Point to student materials.) Which of these expressions matches the description: A, B, or C?","Five divided by five, plus three

Which of these expressions matches the description?",5 ÷ b + 3,5b + 3,5 - b + 3,a,NA,NA,NA,NA,NA,NA,prompt + graphic,number + letter,number + letter,number + letter,Math_G6_M06EXE1.1_M06_intro.mp3,Math_G6_M06EXE1.1_M06_stem.mp3,Math_G6_M06EXE1.1_M06_a.mp3,Math_G6_M06EXE1.1_M06_b.mp3,Math_G6_M06EXE1.1_M06_c.mp3,FT,OI,OI,OI,NA,0.55,0.55,0.55,0.55
M06EXE1.1_M07,6,M06EXE1.1,"(M) Here is a description of an expression, ""Three times m, minus two."" (Point to student materials.) Which of these expressions matches thae description: A, B, or C?","Three times m, minus two

Which of these expressions matches the description?",3m + 2,2m - 3,3m - 2,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M06EXE1.1_M08,6,M06EXE1.1,"(M) Here is a description of an expression, ""Seven times c, divided by two."" (Point to student materials.) Which of these expressions matches the description: A, B, or C?","Seven times c, divided by two

Which of these expressions matches the description?",7 ÷ c ÷ 2,7c ÷ 2,7c - 2,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
