item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M11ALG1.1AH09,11,M11ALG1.1a,"(H) Here is an expression. (Point to student materials.) The coefficient is the number right before the variable. What is the coefficient of x^3 in this expression: 12, 40, or 9?","12x^3 + 16

What is the coefficient of x^3 in this expression?",12,40,9,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.44,NA,NA,NA
M11ALG1.1AH10,11,M11ALG1.1a,"(H) Here is an expression. (Point to student materials.) A term is a part of an expression with either a number or a variable. What is a term in this expression: 5, 6, or 5x^3?","5x^3 + 14 

What is a term in this expression?",5,6,5x^3,c,NA,NA,NA,NA,NA,NA,prompt (SM),number/letter only,number/letter only,number/letter only,Math_G11_M11ALG1.1AH10_intro.mp3,Math_G11_M11ALG1.1AH10_stem.mp3,Math_G11_M11ALG1.1AH10_a.mp3,Math_G11_M11ALG1.1AH10_b.mp3,Math_G11_M11ALG1.1AH10_c.mp3,FT,OI,OI,OI,NA,-0.23,-0.23,-0.23,-0.23
M11ALG1.1AH11,11,M11ALG1.1a,"(H) Here is an expression. (Point to student materials.) A factor is a number you multiply with another number or variable to make an expression. What is a factor in this expression: 14, 7, or 3?","14(b^3)

What is a factor in this expression?",14,7,3,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.03,NA,NA,NA
M11ALG1.1AH12,11,M11ALG1.1a,"(H) Here is an expression. (Point to student materials.) A term is a part of an expression with either a number or a variable. What is a term in this expression: a^3, a, or 3?","19 + a^3

What is a term in this expression?",a^3,a,3,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M11ALG1.1AL01,11,M11ALG1.1a,"(L) Here is an expression. (Point to student materials.) The coefficient is the number right before the variable. What is the coefficient of 3x in this expression: 3, 1, or x?","3x +1

What is the coefficient of 3x in this expression?",3,1,x,a,NA,NA,NA,NA,NA,NA,prompt (SM),number/letter only,number/letter only,number/letter only,Math_G11_M11ALG1.1AL01_intro.mp3,Math_G11_M11ALG1.1AL01_stem.mp3,Math_G11_M11ALG1.1AL01_a.mp3,Math_G11_M11ALG1.1AL01_b.mp3,Math_G11_M11ALG1.1AL01_c.mp3,FT,OI,OI,OI,NA,0.46,0.46,0.46,0.46
M11ALG1.1AL02,11,M11ALG1.1a,"(L) Here is an expression. (Point to student materials.) A term is a part of an expression with either a number or a variable. What is a term in this expression: 1, 35, or x?","x + 18 

What is a term in this expression?",1,35,x,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.35,NA,NA,NA
M11ALG1.1AL03,11,M11ALG1.1a,"(L) Here is an expression: 2(a + b). (Point to student materials.) A factor is a number you multiply with another number or variable to make an expression. What is a factor in this expression: 1, 2, or b?","2(a +b)

What is a factor in this expression?",1,2,b,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M11ALG1.1AL04,11,M11ALG1.1a,"(L) Here is an expression. (Point to student materials.) A term is a part of an expression with either a number or a variable. What is a term in this expression: a, 5, or 20?","8 + a

What is a term in this expression?",a,5,20,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M11ALG1.1AM05,11,M11ALG1.1a,"(M) Here is an expression. (Point to student materials.) The coefficient is the number right before the variable. What is the coefficient of x^2 in this expression: 2, 3, or 9?","9x^2 +3

What is the coefficient of x^2 in this expression?",2,3,9,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.26,NA,NA,NA
M11ALG1.1AM06,11,M11ALG1.1a,"(M) Here is an expression. (Point to student materials.) A term is a part of an expression with either a number or a variable. What is a term in this expression: 6, 17, or x^2?","x^2 + 27 

What is a term in this expression?",6,17,x^2,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.14,NA,NA,NA
M11ALG1.1AM07,11,M11ALG1.1a,"(M) Here is an expression. (Point to student materials.) A factor is a number you multiply with another number to make and expression. What is a factor in this expression: 2, 8, or 13?","8(b^2)

What is a factor in this expression?",2,8,13,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.19,NA,NA,NA
M11ALG1.1AM08,11,M11ALG1.1a,"(M) Here is an expression. (Point to student materials.) A term is a part of an expression with either a number or a variable. What is a term in this expression: a^2, 5, or 20?","12 + a^2

What is a term in this expression?",a^2,5,20,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M11ALG1.1ASAMPLE,11,M11ALG1.1a,"(H) Here is an expression. (Point to student materials.) The coefficient is the number right before the variable. What is the coefficient of x^3 in this expression: 5, 6, or 7?","7x^3 + 2x^2 - x + 8

What is the coefficient of x^3 in this expression?",5,6,7,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M11ALG2.3_H09,11,M11ALG2.3,"(H) Here is an equation with the variable b. (Point to student materials.) This says 2b - 3 = 5. What number times two, minus 3 equals 5: 1, 2, or 4?","2b - 3 =  5

solve for b

What number times two, minus 3 equals 5?",1,2,4,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.6,NA
